id;name;city_id
1;Alameda Recalde;1
2;Alameda San mames;1
3;Alameda Urquijo;1
4;Alameda Mazarredo;1
5;Alameda Arteche conde de;1
6;Alameda Areilza doctor;1
7;Alameda Revilla gregorio de la;1
8;Alto Santo domingo;1
9;Autopista Vasco-aragonesa a 68;1
10;Autopista Bilbao-behobia a 8;1
11;Avenida Abandoibarra;1
12;Avenida Galindez jesus;1
13;Avenida KirikiÑo;1
14;Avenida Ravel maurice;1
15;Avenida Bergara;1
16;Avenida San adrian;1
17;Avenida Garat txomin;1
18;Avenida Zarandoa;1
19;Avenida Zumalacarregui;1
20;Avenida Universidades;1
21;Avenida Madariaga;1
22;Avenida Montevideo;1
23;Avenida Prieto indalecio;1
24;Avenida Ramon y cajal;1
25;Avenida Catolicos reyes;1
26;Avenida Lapurdi;1
27;Avenida Aresti gabriel;1
28;Avenida Ferrocarril del;1
29;Avenida Zunzunegui juan antonio;1
30;Avenida Arana sabino;1
31;Avenida Gaiarre julian;1
32;Avenida Casals pau;1
33;Avenida Askatasuna;1
34;Avenida Miraflores;1
35;Avenida Zuberoa;1
36;Avenida Lecuona pintor;1
37;Avenida Aguirre lehendakari;1
38;Avenida Enekuri;1
39;Barriada Unceta parroco;1
40;Barriada San miguel;1
41;Barriada Sarrikue;1
42;Barriada Miranda ignacio;1
43;Barriada Lagunetxea;1
44;Barrio Altamira;1
45;Barrio Andramaria de begoÑa;1
46;Barrio Asuncion;1
47;Barrio Azurleku;1
48;Barrio Betolatza;1
49;Barrio Buia;1
50;Barrio San anton;1
51;Barrio Caserio larrazabal;1
52;Barrio Caramelo monte;1
53;Barrio San ignacio;1
54;Barrio Uretamendi;1
55;Barrio Zurbaran;1
56;Barrio Zurbaranbarri;1
57;Barrio Buiagoiti;1
58;Barrio Cruz de la;1
59;Barrio Dolaretxe;1
60;Barrio Gardeazabal;1
61;Barrio Iturrigorri;1
62;Callejon Campo volantin;1
63;Callejon Fuente de la;1
64;Callejon Transito del;1
65;Calle Abaitua eulalia;1
66;Calle Abasolo;1
67;Calle Abusu;1
68;Calle Atxuri;1
69;Calle Agarre;1
70;Calle Aguero martin;1
71;Calle Arrue pintores;1
72;Calle Zarra telmo;1
73;Calle Zuhatzu;1
74;Calle Zugastinobia;1
75;Calle Zugazagoitia julian;1
76;Calle Zumarraga;1
77;Calle Zurbaran;1
78;Calle Arsuaga;1
79;Calle Zamacola;1
80;Calle Zankoeta;1
81;Calle Zizeruena;1
82;Calle Lekeitio;1
83;Calle Zorrotzabaso;1
84;Calle Zorrotzagana;1
85;Calle Villarias;1
86;Calle Virgen de begoÑa;1
87;Calle Vista alegre;1
88;Calle Epalza viuda de;1
89;Calle Zabala bruno mauricio;1
90;Calle Zabalbide;1
91;Calle Uribitarte;1
92;Calle Urizar;1
93;Calle Urrutia;1
94;Calle Eguiluz antonio medico;1
95;Calle Victor del;1
96;Calle Villabaso camilo;1
97;Calle Ugarte;1
98;Calle Uhagon felipe alcalde;1
99;Calle Urazurrutia;1
100;Calle Urgozo;1
101;Calle Uribarri;1
102;Calle Uribe laso mª victoria;1
103;Calle Leguizamon tristan de;1
104;Calle Trueba antonio de;1
105;Calle Tutulu;1
106;Calle Txirrita;1
107;Calle Txotena;1
108;Calle Ugalde;1
109;Calle Tiboli;1
110;Calle Tolosa;1
111;Calle Torre de la;1
112;Calle Torre gorostitzaga;1
113;Calle Trauko;1
114;Calle Zumaia;1
115;Calle Constantino tenor;1
116;Calle Guiard teofilo;1
117;Calle Arrieta emilio;1
118;Calle Isasi andres;1
119;Calle Montserrat nuestra seÑora de;1
120;Calle Garay juan de;1
121;Calle Somera;1
122;Calle Steer george;1
123;Calle Telleria;1
124;Calle Tenderia;1
125;Calle Azpeitia sancho de;1
